Date,Name,Year,Letterboxd URI,Rating
2026-01-07,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2026-01-22,13 Going on 30,2004,https://boxd.it/1X6e,3
2026-02-03,Marty Supreme,2025,https://boxd.it/Off0,4.5
2026-02-14,Before Sunrise,1995,https://boxd.it/2bcU,5
2026-02-14,Before Sunset,2004,https://boxd.it/2bcg,5
2026-02-16,Before Midnight,2013,https://boxd.it/4ive,5
2026-02-23,Hamnet,2025,https://boxd.it/woVy,5
2026-02-26,Casablanca,1942,https://boxd.it/2aG0,4.5
2026-03-05,Titanic,1997,https://boxd.it/2a2k,3.5
2026-03-22,Project Hail Mary,2026,https://boxd.it/pEeQ,4.5
2026-03-25,GoodFellas,1990,https://boxd.it/29FA,4.5
2026-03-25,10 Things I Hate About You,1999,https://boxd.it/23AO,4.5
2026-04-03,Wild Tales,2014,https://boxd.it/7UmK,4.5
2026-05-02,Waiting for the Hearse,1985,https://boxd.it/1PIa,3.5
2026-05-03,The Devil Wears Prada 2,2026,https://boxd.it/Oags,3.5
2026-05-11,The Hangover,2009,https://boxd.it/1GjK,3.5
2026-05-13,Entourage,2015,https://boxd.it/5Hki,3.5
2026-05-24,Michael,2026,https://boxd.it/zi5M,3.5
2026-05-26,Whiplash,2014,https://boxd.it/7bQA,5
2026-06-27,Obsession,2025,https://boxd.it/PNqo,4
2026-06-29,Amores Perros,2000,https://boxd.it/2bfu,4.5
2026-06-30,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2026-07-18,Voicemails for Isabelle,2026,https://boxd.it/mJVk,3.5
2026-08-14,Fight Club,1999,https://boxd.it/2a9q,4.5
2026-08-18,The Odyssey,2026,https://boxd.it/QFQU,4.5
2026-08-24,12 Angry Men,1957,https://boxd.it/2auI,4.5
